country,child_mort,income,gdpp,life_expec,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
Afghanistan,90.2,1610,553,56.2,1,0,2
Albania,16.6,9930,4090,76.3,2,0,1
Algeria,27.3,12900,4460,76.5,2,0,1
Angola,119.0,5900,3530,60.1,1,-1,1
Antigua and Barbuda,10.3,19100,12200,76.8,2,0,1
Argentina,14.5,18700,10300,75.8,2,0,1
Armenia,18.1,6700,3220,73.3,2,0,1
Australia,4.8,41400,51900,82.0,0,0,0
Austria,4.3,43200,46900,80.5,0,0,0
Azerbaijan,39.2,16000,5840,69.1,2,0,1
Bahamas,13.8,22900,28000,73.8,2,0,1
Bahrain,8.6,41100,20700,76.0,0,0,0
Bangladesh,49.4,2440,758,70.4,2,0,1
Barbados,14.2,15300,16000,76.7,2,0,1
Belarus,5.5,16200,6030,70.4,2,0,1
Belgium,4.5,41100,44400,80.0,0,0,0
Belize,18.8,7880,4340,71.4,2,0,1
Benin,111.0,1820,758,61.8,1,0,2
Bhutan,42.7,6420,2180,72.1,2,0,1
Bolivia,46.6,5410,1980,71.6,2,0,1
Bosnia and Herzegovina,6.9,9720,4610,76.8,2,0,1
Botswana,52.5,13300,6350,57.1,1,0,1
Brazil,19.8,14500,11200,74.2,2,0,1
Brunei,10.5,80600,35300,77.1,0,-1,0
Bulgaria,10.8,15300,6840,73.9,2,0,1
Burkina Faso,116.0,1430,575,57.9,1,0,2
Burundi,93.6,764,231,57.7,1,0,2
Cambodia,44.4,2520,786,66.1,2,0,1
Cameroon,108.0,2660,1310,57.3,1,0,2
Canada,5.6,40700,47400,81.3,0,0,0
Cape Verde,26.5,5830,3310,72.5,2,0,1
Central African Republic,149.0,888,446,47.5,1,-1,2
Chad,150.0,1930,897,56.5,1,0,2
Chile,8.7,19400,12900,79.1,2,0,1
China,15.7,9530,4560,74.6,2,0,1
Colombia,18.6,10900,6250,76.4,2,0,1
Comoros,88.2,1410,769,65.9,1,0,2
"Congo, Dem. Rep.",116.0,609,334,57.5,1,-1,2
"Congo, Rep.",63.9,5190,2740,60.4,1,-1,1
Costa Rica,10.2,13000,8200,80.4,2,0,1
Cote d'Ivoire,111.0,2690,1220,56.3,1,0,2
Croatia,5.5,20100,13500,76.3,2,0,1
Cyprus,3.6,33900,30800,79.9,0,0,1
Czech Republic,3.4,28300,19800,77.5,0,0,1
Denmark,4.1,44000,58000,79.5,0,0,0
Dominican Republic,34.4,11100,5450,74.6,2,0,1
Ecuador,25.1,9350,4660,76.7,2,0,1
Egypt,29.1,9860,2600,70.5,2,0,1
El Salvador,19.2,7300,2990,74.1,2,0,1
Equatorial Guinea,111.0,33700,17100,60.9,1,-1,1
Eritrea,55.2,1420,482,61.7,1,0,1
Estonia,4.5,22700,14600,76.0,2,0,1
Fiji,24.1,7350,3650,65.3,2,0,1
Finland,3.0,39800,46200,80.0,0,0,0
France,4.2,36900,40600,81.4,0,0,0
Gabon,63.7,15400,8750,62.9,1,-1,1
Gambia,80.3,1660,562,65.5,1,0,2
Georgia,16.5,6730,2960,72.8,2,0,1
Germany,4.2,40400,41800,80.1,0,0,0
Ghana,74.7,3060,1310,62.2,1,0,1
Greece,3.9,28700,26900,80.4,0,0,0
Grenada,14.6,11200,7370,71.3,2,0,1
Guatemala,35.4,6710,2830,71.3,2,0,1
Guinea,109.0,1190,648,58.0,1,0,2
Guinea-Bissau,114.0,1390,547,55.6,1,0,2
Guyana,37.6,5840,3040,65.5,2,0,1
Haiti,208.0,1500,662,32.1,1,-1,2
Hungary,6.0,22300,13100,74.5,2,0,1
Iceland,2.6,38800,41900,82.0,0,0,0
India,58.8,4410,1350,66.2,2,0,1
Indonesia,33.3,8430,3110,69.9,2,0,1
Iran,19.3,17400,6530,74.5,2,0,1
Iraq,36.9,12700,4500,67.2,1,-1,1
Ireland,4.2,45700,48700,80.4,0,-1,0
Israel,4.6,29600,30600,81.4,0,0,0
Italy,4.0,36200,35800,81.7,0,0,0
Jamaica,18.1,8000,4680,74.7,2,0,1
Japan,3.2,35800,44500,82.8,0,0,0
Jordan,21.1,9470,3680,75.8,2,0,1
Kazakhstan,21.5,20100,9070,68.4,2,0,1
Kenya,62.2,2480,967,62.8,1,0,2
Kiribati,62.7,1730,1490,60.7,1,-1,1
Kuwait,10.8,75200,38500,78.2,0,-1,0
Kyrgyz Republic,29.6,2790,880,68.5,2,0,1
Lao,78.9,3980,1140,63.8,1,0,1
Latvia,7.8,18300,11300,73.1,2,0,1
Lebanon,10.3,16300,8860,79.8,2,0,1
